211016011,221016,1000,1500,azucar,50
211016021,221016,3000,3400,arroz,70
211016031,221016,8000,9000,aceite,80
211016041,221016,3000,3800,harina,100
211016051,221016,8000,8700,yogurt,40
211016062,221016,1000,2600,jabón,20
211016072,221016,14000,20000,suavizante,40
211016082,221016,800,1200,esponja,30
211016092,221016,2500,3200,cloro,40
211016102,221016,8500,10200,guantes,20
211016113,221016,4500,6000,algodón,120
211016123,221016,11200,15000,desodorante,80
211016133,221016,9500,11000,shampoo,50
211016143,221016,10000,12000,acondicionador,60
211016153,221016,6300,7900,colgate,100
